unit_id,cycle,vibration_x,vibration_y,temperature_bearing,pressure_inlet,rpm_shaft,rul
1,1,2.057,1.781,66.28,5.039,3584.4,199
1,2,2.145,1.807,66.47,5.062,3589.7,198
1,3,2.075,1.79,65.95,5.057,3587.6,197
1,4,2.102,1.748,67.05,5.036,3586.1,196
1,5,2.095,1.797,66.62,5.048,3589.5,195
1,6,2.195,1.759,66.18,5.023,3590.3,194
1,7,2.155,1.771,66.01,5.023,3590.4,193
1,8,2.139,1.797,66.1,5.044,3588.3,192
1,9,2.118,1.81,66.55,5.053,3588.1,191
1,10,2.121,1.801,65.71,5.033,3585.9,190
1,11,2.084,1.765,67.18,5.022,3591.7,189
1,12,2.042,1.762,66.52,5.051,3590.7,188
1,13,2.141,1.762,66.2,5.057,3587.1,187
1,14,2.059,1.73,65.97,5.049,3588.4,186
1,15,2.137,1.758,66.51,5.052,3586.6,185
1,16,2.128,1.749,66.25,5.032,3583.0,184
1,17,2.129,1.757,66.44,5.049,3589.6,183
1,18,2.136,1.772,66.22,5.038,3581.1,182
1,19,2.052,1.723,65.94,5.047,3584.2,181
1,20,2.094,1.828,66.26,5.054,3584.1,180
1,21,2.101,1.738,66.26,5.056,3580.9,179
1,22,2.127,1.785,66.14,5.011,3588.1,178
1,23,2.088,1.785,66.45,5.072,3586.9,177
1,24,2.069,1.783,66.54,5.067,3591.2,176
1,25,2.124,1.834,65.84,5.027,3584.1,175
1,26,2.094,1.72,66.75,5.035,3581.9,174
1,27,2.069,1.788,66.85,5.079,3599.5,173
1,28,2.126,1.736,65.37,5.045,3584.6,172
1,29,2.093,1.751,66.36,5.061,3588.5,171
1,30,2.103,1.734,65.6,5.03,3587.6,170
1,31,2.18,1.781,66.93,5.029,3583.1,169
1,32,2.071,1.747,67.5,5.023,3591.2,168
1,33,2.073,1.813,66.63,5.036,3587.7,167
1,34,2.083,1.793,66.21,5.015,3582.7,166
1,35,2.116,1.839,66.51,5.037,3589.0,165
1,36,2.162,1.784,66.23,5.062,3589.5,164
1,37,2.171,1.783,65.82,5.012,3594.4,163
1,38,2.179,1.768,66.24,5.069,3583.4,162
1,39,2.074,1.801,66.24,5.039,3587.2,161
1,40,2.123,1.832,66.48,5.052,3579.6,160
1,41,2.108,1.742,65.82,5.022,3586.5,159
1,42,2.146,1.722,66.45,5.03,3586.5,158
1,43,2.15,1.797,67.1,5.036,3585.0,157
1,44,2.101,1.785,66.52,5.018,3588.2,156
1,45,2.119,1.876,67.37,5.022,3586.7,155
1,46,2.051,1.752,66.59,5.064,3584.9,154
1,47,2.083,1.69,66.35,5.018,3585.7,153
1,48,2.075,1.772,65.56,5.01,3596.3,152
1,49,2.058,1.732,67.35,5.098,3583.1,151
1,50,2.095,1.789,67.3,5.02,3586.8,150
1,51,2.141,1.793,66.25,5.037,3582.3,149
1,52,2.1,1.765,66.55,5.028,3589.7,148
1,53,2.15,1.782,66.61,5.041,3587.8,147
1,54,2.081,1.788,66.39,5.081,3594.1,146
1,55,2.125,1.745,65.88,5.063,3588.9,145
1,56,2.129,1.706,66.9,5.049,3583.4,144
1,57,2.091,1.786,66.46,5.034,3587.4,143
1,58,2.1,1.782,67.17,4.988,3586.9,142
1,59,2.117,1.787,66.25,5.004,3589.1,141
1,60,2.179,1.714,66.87,5.033,3587.6,140
1,61,2.067,1.762,67.08,5.051,3594.8,139
1,62,2.157,1.793,67.31,5.048,3591.1,138
1,63,2.098,1.778,66.09,5.059,3583.1,137
1,64,2.141,1.768,67.02,5.054,3595.1,136
1,65,2.139,1.713,66.4,5.016,3585.8,135
